Assigned to,id,name,address,zip,country,latitude,longitude,phone,Yelp URL of Business,City Page,Notes,Yelp search URL
,2704,JUDY'S CAFE,2268 CHESTNUT ST.,94123,US,37.800297,-122.440554,,judys-homestyle-cafe-san-francisco,,,
JE,5613,CP - ROOM 438,CANDLESTICK PARK,94124,US,37.712613,-122.387477,14155332420,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5613,,"http://www.yelp.com/search?find_desc=CP - ROOM 438#find_loc=CANDLESTICK PARK,sf"
,5916,UNIVERSITY HIGH SCHOOL,3065 JACKSON ST,94115,US,37.791043,-122.445476,,university-high-school-san-francisco,,,
kl,1685,"NEW LUN TING CAFE, INC",670 JACKSON ST,94133,US,37.796098,-122.406275,,new-lun-ting-cafe-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:1685,,
AG,3694,PAKWAN RESTAURANT,3180 16TH ST,94103,US,37.764838,-122.423623,14155252440,http://www.yelp.com/biz/pakwan-san-francisco#query:PAKWAN%20RESTAURANT,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:3694,,"http://www.yelp.com/search?find_desc=PAKWAN RESTAURANT#find_loc=3180 16TH ST,sf"
JE,4492,MOLLIE STONE'S GRAND CENTRAL MARKET (MEZZANINE LEVEL),2435 CALIFORNIA ST,94115,US,37.788773,-122.434697,14155564902,http://www.yelp.com/biz/mollie-stones-san-francisco-3#query:MOLLIE%20STONE%27S%20GRAND,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:4492,,"http://www.yelp.com/search?find_desc=MOLLIE STONE'S GRAND CENTRAL MARKET (MEZZANINE LEVEL)#find_loc=2435 CALIFORNIA ST,sf"
,1327,SEA BISCUIT CAFE,3815 NORIEGA ST,94122,US,37.752963,-122.50458,,sea-biscuit-cafe-san-francisco,,,
AG,3279,BURGER KING 4525,1701 FILLMORE ST,94115,US,37.785474,-122.433184,,http://www.yelp.com/biz/burger-king-san-francisco-10,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:3279,,"http://www.yelp.com/search?find_desc=BURGER KING 4525#find_loc=1701 FILLMORE ST,sf"
,68608,CORIANDER GOURMET THAI,135 04TH ST FC-07,94103,US,37.784103,-122.403669,,coriander-gourmet-thai-san-francisco-2,,,
Partha,40032,FAMOUS SMOKE SHOP & WIRELESS,3319A MISSION ST.,94110,US,37.743831,-122.421,,famous-smoke-shop-and-wireless-san-francisco,,,
,63404,COMMONWEALTH,2224 MISSION ST,94110,US,37.761337,-122.419355,14155351500,commonwealth-san-francisco,,,
,2072,STARBUCKS COFFEE,2163 POLK ST,94109,US,37.796527,-122.421953,,starbucks-coffee-san-francisco-68,,,
kl,1516,AT&T - FIELD CLUB KITCHEN [145082],24 WILLIE MAYS PLAZA 1.11.04,94107,US,37.778382,-122.391151,14155971500,-unmatched,,,
,68068,THE CHAI CART,525 MARKET/360 VALENCIA,,US,,,,the-chai-cart-san-francisco,,,
,3294,TORAYA,1734 POST ST,94115,US,37.785528,-122.430374,,toraya-japanese-restaurant-san-francisco,,,
SM,7243,CASA LUCAS #3,4555 MISSION ST,94112,US,37.725432,-122.434216,,casa-lucas-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:7243,,"http://www.yelp.com/search?find_desc=CASA LUCAS #3#find_loc=4555 MISSION ST,sf"
,14526,THE GYMBOREE CORP,500  HOWARD ST 8/F,94105,US,37.788294,-122.396419,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:14526,,"http://www.yelp.com/search?find_desc=THE GYMBOREE CORP#find_loc=500  HOWARD ST 8/F,sf"
